id,Title,Composer,Performer,Stream,Orig Sentiment,Sentiment
0,I'm a Believer,Neil Diamond,The Monkees,,happy,happy
1,ABC,"Berry Gordy, Jr. / Alphonso Mizell / Freddie Perren / Deke Richards",The Jackson 5,,happy,happy
2,Love Shack,Kate Pierson / Fred Schneider / Keith Strickland / Cindy Wilson,The B-52s,Spotify,happy,happy
3,Going to a Go-Go," Warren ""Pete"" Moore / Smokey Robinson / Robert Rogers / Marvin Tarplin",Smokey Robinson & the Miracles,,happy,happy
4,In the Mood ,Joe Garland / Andy Razaf,Glenn Miller,Spotify,happy,happy
5,Caldonia ,Fleecie Moore,Louis Jordan,,happy,happy
6,Walk Like an Egyptian ,Liam Sternberg,Bangles,,happy,happy
7,The Way You Do the Things You Do ,Smokey Robinson / Robert Rogers,The Temptations,,happy,happy
8,Spanish Flea ,Julius Wechter,Herb Alpert,,happy,happy
9,Do You Believe in Magic? ,John Sebastian,The Lovin' Spoonful,,happy,happy
10,The 59th Street Bridge Song (Feelin' Groovy) ,Paul Simon,Harpers Bizarre,,happy,happy
11,The Heart of Rock & Roll ,Johnny Colla / Huey Lewis,Huey Lewis & the News,,happy,happy
12,Let the Good Times Roll ,Fleecie Moore / Sam Theard,Louis Jordan,,happy,happy
13,You Baby ,Steve Barri / P.F. Sloan,The Turtles,,happy,happy
14,"Signed, Sealed, Delivered I'm Yours ",Lee Garrett / Lula Mae Hardaway / Stevie Wonder / Syreeta Wright,Stevie Wonder,Spotify,happy,happy
15,I Like It Like That ,Chris Kenner / Allen Toussaint,Chris Kenner,,happy,happy
16,Ride Your Pony ,Naomi Neville,Lee Dorsey,Spotify,happy,happy
17,I'm Ready ,Sylvester Bradford / Fats Domino / Al Lewis,Fats Domino,,happy,happy
18,Boogie Woogie Bugle Boy ,Hughie Prince / Don Raye,The Andrews Sisters / Vic Schoen / Vic Schoen & His Orchestra,,happy,happy
19,Tighten Up ,Archie Bell / Billy Buttier,Archie Bell & the Drells,,happy,happy
20,Tequila ,Chuck Rio,The Champs,,happy,happy
21,Don't You Just Know It ,"Huey ""Piano"" Smith / Johnny Vincent","Huey ""Piano"" Smith",,happy,happy
22,"Sugar, Sugar ",Jeff Barry / Andy Kim,The Archies,,happy,happy
23,The Rockafeller Skank ,John Barry / Fatboy Slim / Winford Terry,Fatboy Slim,,happy,happy
24,Happy Doing What We're Doing ,Bob Andrews / Nick Lowe,Brinsley Schwarz,,happy,happy
25,Da Doo Ron Ron ,Jeff Barry / Ellie Greenwich / Phil Spector,The Crystals,,happy,happy
26,Itchycoo Park ,Ronnie Lane / Steve Marriott,Small Faces,,happy,happy
27,I'm into Something Good ,Gerry Goffin / Carole King,Earl-Jean,,happy,happy
28,Happy Together,Garry Bonner / Alan Gordon,The Turtles,,happy,happy
29,The Fat Man ,Dave Bartholomew / Fats Domino,Fats Domino,,happy,happy
30,Mardi Gras in New Orleans,,Dave Bartholomew,Spotify,happy,happy
31,Holy Cow ,Allen Toussaint,Lee Dorsey,Spotify,happy,happy
32,Ain't That a Kick in the Head ,Sammy Cahn / James Van Heusen,Dean Martin,,happy,happy
33,Step It Fast,,Nathan Abshire,,happy,happy
34,The Monkey Time ,Curtis Mayfield,Major Lance,,happy,happy
35,Babalu ,Margarita Lecuona,Desi Arnaz,,happy,happy
36,"Fingertips, Pt. 2",Henry Cosby / Clarence Paul,Stevie Wonder,,happy,happy
37,"Jump, Jive, An' Wail ",Louis Prima,Louis Prima,Spotify,happy,happy
38,Leaning on a Lamp Post ,Noel Gay,George Formby,,happy,happy
39,Wake Me Up Before You Go-Go ,George Michael,Wham!,Spotify,happy,happy
40,Welcome Back ,John Sebastian,John Sebastian,Spotify,happy,happy
41,I'm So Excited ,Trevor Lawrence / Anita Pointer / June Pointer / Ruth Pointer,The Pointer Sisters,Spotify,happy,happy
42,Simon Says ,Elliot Chiprut,1910 Fruitgum Company,,happy,happy
43,In the Summertime ,Ray Dorset,Mungo Jerry,Spotify,happy,happy
44,Cissy Strut ,"Ziggy Modeliste / Art Neville / Arthur ""Red"" Neville / Leo Nocentelli / George Porter, Jr.",The Meters,,happy,happy
45,Hang on Sloopy ,Wes Farrell / Bert Russell,The McCoys,,happy,happy
46,Margaritaville ,Jimmy Buffett,Jimmy Buffett,,happy,happy
47,Surf City ,Jan Berry / Brian Wilson,Jan & Dean,,happy,happy
48,"Love, American Style ",Charles Fox,The Cowsills,,happy,happy
49,Nice Work If You Can Get It ,George Gershwin / Ira Gershwin,Fred Astaire,,happy,happy
50,Reason to Believe,,Rod Stewart,Spotify,joyous,happy
51,I Should Have Known Better,,The Beatles,,joyous,happy
52,Any Time at All,,The Beatles,,joyous,happy
53,Hips Don't Lie,,Shakira,,joyous,happy
54,Eight Days a Week,,The Beatles,,joyous,happy
55,Magical Mystery Tour,,The Beatles,,joyous,happy
56,Penny Lane,,The Beatles,,joyous,happy
57,All My Loving,,The Beatles,,joyous,happy
58,Things Ain't What They Used to Be,,Duke Ellington / Duke Ellington & His Orchestra,Spotify,joyous,happy
59,City of New Orleans,,Willie Nelson,,joyous,happy
60,America the Beautiful,,Frank Sinatra,,joyous,happy
61,I Only Have Eyes for You,,Frank Sinatra,,joyous,happy
62,Why Baby Why,,George Jones,,joyous,happy
63,The Rising,,Bruce Springsteen,Spotify,joyous,happy
64,I Can Hear Music,,The Beach Boys,,joyous,happy
65,Nice 'n' Easy,,Frank Sinatra,Spotify,joyous,happy
66,St. Thomas,,Sonny Rollins,,joyous,happy
67,"Baby, I Love You",,Aretha Franklin,Spotify,joyous,happy
68,Let It Be,,Aretha Franklin,Spotify,joyous,happy
69,Take the Money and Run,,Steve Miller / Steve Miller Band,Spotify,joyous,happy
70,Daddy Sang Bass,,Johnny Cash,,joyous,happy
71,Jeepers Creepers,,Tony Bennett,,joyous,happy
72,Brazil,,Frank Sinatra,Spotify,joyous,happy
73,On the Sunny Side of the Street,,Frank Sinatra,Spotify,joyous,happy
74,Almost Like Being in Love,,Frank Sinatra,Spotify,joyous,happy
75,I Say a Little Prayer,,Aretha Franklin,Spotify,joyous,happy
76,Since You've Been Gone (Sweet Sweet Baby),,Aretha Franklin,,joyous,happy
77,People Get Ready,,Aretha Franklin,Spotify,joyous,happy
78,One O'Clock Jump,,Duke Ellington,,joyous,happy
79,Rock 'N' Roll High School,,Ramones,,joyous,happy
80,It Might as Well Be Spring,,Frank Sinatra,Spotify,joyous,happy
81,I Got a Feelin' in My Body,,Elvis Presley,Spotify,joyous,happy
82,Let It Rain,,Eric Clapton,Spotify,joyous,happy
83,You'd Be So Nice to Come Home To,,Frank Sinatra,Spotify,joyous,happy
84,Conga,,Gloria Estefan,Spotify,joyous,happy
85,Pennies from Heaven,,Frank Sinatra,Spotify,joyous,happy
86,You Make Me Feel So Young,,Frank Sinatra,Spotify,joyous,happy
87,Firefly,,Tony Bennett,Spotify,joyous,happy
88,You Can't Hurry Love,,Phil Collins,Spotify,joyous,happy
89,Something Happened on the Way to Heaven,,Phil Collins,,joyous,happy
90,I Can't Believe That You're in Love with Me,,Frank Sinatra,Spotify,joyous,happy
91,When You're Smiling (The Whole World Smiles with You),,Frank Sinatra,Spotify,joyous,happy
92,The Song Is You,,Frank Sinatra,Spotify,joyous,happy
93,A Wonderful Christmas Time,,Paul McCartney,,joyous,happy
94,Mandolin Wind,,Rod Stewart,Spotify,joyous,happy
95,That's All Right,,Rod Stewart,Spotify,joyous,happy
96,Every Picture Tells a Story,,Rod Stewart,Spotify,joyous,happy
97,My Way of Giving,,Rod Stewart,Spotify,joyous,happy
98,Here Comes Santa Claus (Right Down Santa Claus Lane),,Elvis Presley,Spotify,joyous,happy
99,Without a Song,,Frank Sinatra,,joyous,happy
100,Don't Be Cruel,,Elvis Presley,Spotify,cheerful,happy
101,Stuck on You,,Elvis Presley,,cheerful,happy
102,The Birth of the Blues,,Frank Sinatra,,cheerful,happy
103,The Things We Did Last Summer,,Frank Sinatra,,cheerful,happy
104,Hot Dog,,Elvis Presley,,cheerful,happy
105,"Take the ""A"" Train",,Duke Ellington,Spotify,cheerful,happy
106,I Only Have Eyes for You,,Frank Sinatra,,cheerful,happy
107,Perdido,,Duke Ellington / Duke Ellington & His Orchestra,,cheerful,happy
108,Take the 'A' Train,,Duke Ellington / Duke Ellington & His Orchestra,,cheerful,happy
109,Nice 'n' Easy,,Frank Sinatra,Spotify,cheerful,happy
110,Tonight I'll Be Staying Here With You,,Bob Dylan,,cheerful,happy
111,Son of a Preacher Man,,Aretha Franklin,Spotify,cheerful,happy
112,Such a Night,,Elvis Presley,,cheerful,happy
113,Band on the Run,,Paul McCartney / Paul McCartney & Wings / Wings,,cheerful,happy
114,How Do You Think I Feel,,Elvis Presley,,cheerful,happy
115,When My Blue Moon Turns to Gold Again,,Elvis Presley,,cheerful,happy
116,(Let Me Be Your) Teddy Bear,,Elvis Presley,Spotify,cheerful,happy
117,South of the Border,,Frank Sinatra,Spotify,cheerful,happy
118,London by Night,,Frank Sinatra,Spotify,cheerful,happy
119,Let's Get Away from It All,,Frank Sinatra,Spotify,cheerful,happy
120,Almost Like Being in Love,,Frank Sinatra,Spotify,cheerful,happy
121,I Say a Little Prayer,,Aretha Franklin,Spotify,cheerful,happy
122,"Take the ""A"" Train",,Duke Ellington & His Orchestra,Spotify,cheerful,happy
123,She's Not You,,Elvis Presley,,cheerful,happy
124,Honeysuckle Rose,,Duke Ellington,,cheerful,happy
125,East of the Sun (And West of the Moon),,Frank Sinatra,,cheerful,happy
126,April in Paris,,Frank Sinatra / Frank Sinatra Sextet,,cheerful,happy
127,Too Marvelous for Words,,Frank Sinatra / Frank Sinatra Sextet,,cheerful,happy
128,Veronica,,Elvis Costello,Spotify,cheerful,happy
129,Come Rain or Come Shine,,Frank Sinatra,Spotify,cheerful,happy
130,If I Had You,,Frank Sinatra,Spotify,cheerful,happy
131,You'd Be So Nice to Come Home To,,Frank Sinatra,Spotify,cheerful,happy
132,Uptown Girl,,Billy Joel,Spotify,cheerful,happy
133,Tell Her About It,,Billy Joel,Spotify,cheerful,happy
134,Anything Goes,,Frank Sinatra,Spotify,cheerful,happy
135,Pennies from Heaven,,Frank Sinatra,Spotify,cheerful,happy
136,You Brought a New Kind of Love to Me,,Frank Sinatra,Spotify,cheerful,happy
137,You Make Me Feel So Young,,Frank Sinatra,Spotify,cheerful,happy
138,Sussudio,,Phil Collins,,cheerful,happy
139,You Can't Hurry Love,,Phil Collins,Spotify,cheerful,happy
140,Something Happened on the Way to Heaven,,Phil Collins,,cheerful,happy
141,You Do Something to Me,,Frank Sinatra,Spotify,cheerful,happy
142,I Concentrate on You,,Frank Sinatra,Spotify,cheerful,happy
143,My Blue Heaven,,Frank Sinatra,Spotify,cheerful,happy
144,It's Only a Paper Moon,,Frank Sinatra,Spotify,cheerful,happy
145,It All Depends on You,,Frank Sinatra,Spotify,cheerful,happy
146,S'posin',,Frank Sinatra,Spotify,cheerful,happy
147,When You're Smiling (The Whole World Smiles with You),,Frank Sinatra,Spotify,cheerful,happy
148,Cheek to Cheek,,Frank Sinatra,Spotify,cheerful,happy
149,Saturday Night (Is the Loneliest Night of the Week),,Frank Sinatra,Spotify,cheerful,happy
150,Blitzkrieg Bop ,Ramones,Ramones,Spotify,energetic,surprise
151,I Got You (I Feel Good) ,James Brown,James Brown,,energetic,surprise
152,Rocket 88 ,Jackie Brenston,Jackie Brenston,,energetic,surprise
153,Block Rockin' Beats ,Tom Rowlands / Edmund Simmons / Jesse Weaver,The Chemical Brothers,Spotify,energetic,surprise
154,Ballroom Blitz,Mike Chapman / Nicky Chinn,Sweet,Spotify,energetic,surprise
155,Sister Anne ,"Fred ""Sonic"" Smith",MC5,,energetic,surprise
156,Into the Groove ,Stephen Bray / Madonna,Madonna,,energetic,surprise
157,Long Tall Sally,"Robert ""Bumps"" Blackwell / Enotris Johnson / Richard Penniman",Little Richard,Spotify,energetic,surprise
158,C'mon Everybody ,Jerry Capehart / Eddie Cochran,Eddie Cochran,,energetic,surprise
159,I Gotcha ,Joe Tex,Joe Tex,,energetic,surprise
160,Nite Klub ,"John ""Brad"" Bradbury / Roddy Byers / Jerry Dammers / Lynval Golding / Terry Hall / Horace Panter / Neville Staple",The Specials,,energetic,surprise
161,I Fought the Law ,Sonny Curtis,The Bobby Fuller Four,Spotify,energetic,surprise
162,Up Around the Bend ,John Fogerty,Creedence Clearwater Revival,Spotify,energetic,surprise
163,Mickey ,Nicky Chinn,Toni Basil,,energetic,surprise
164,Antmusic ,Adam Ant / Marco Pirroni,Adam and the Ants / Adam Ant,,energetic,surprise
165,Waterloo ,Stig Anderson / Benny Andersson / Anni-Frid Lyngstad / Björn Ulvaeus,ABBA,,energetic,surprise
166,"Radio, Radio ",Elvis Costello,Elvis Costello & the Attractions,,energetic,surprise
167,Rock Lobster ,The B-52s / Fred Schneider / Ricky Wilson,The B-52s,,energetic,surprise
168,I Want You Back ,"Berry Gordy, Jr. / Alphonso Mizell / Freddie Perren / Deke Richards",The Jackson 5,,energetic,surprise
169,I'm So Bored with the U.S.A. ,Mick Jones / Joe Strummer,The Clash,,energetic,surprise
170,New Rose ,Brian James,The Damned,Spotify,energetic,surprise
171,Land of 1000 Dances ,Fats Domino / Chris Kenner,Wilson Pickett,,energetic,surprise
172,Whole Lotta Shakin' Goin' On ,Sunny David / Dave Williams,Jerry Lee Lewis,,energetic,surprise
173,Lucille ,Albert Collins / Little Richard,Little Richard,Spotify,energetic,surprise
174,No Particular Place to Go,Chuck Berry,Chuck Berry,,energetic,surprise
175,Ain't Misbehavin' ,Harry Brooks / Andy Razaf / Fats Waller,Fats Waller,,energetic,surprise
176,Opening: I Can't Turn You Loose ,Steve Cropper / Otis Redding / McElvoy Robinson,The Blues Brothers,,energetic,surprise
177,Pack Fair and Square ,Walter Travis Price,J. Geils Band,Spotify,energetic,surprise
178,It Won't Be Long ,John Lennon / Paul McCartney,The Beatles,,energetic,surprise
179,High School ,"Michael Davis / Wayne Kramer / Fred ""Sonic"" Smith / Dennis Thompson / Rob Tyner",MC5,Spotify,energetic,surprise
180,Hanging on the Telephone ,Jack Lee,Blondie,Spotify,energetic,surprise
181,Fell in Love with a Girl ,Jack White / Meg White,The White Stripes,Spotify,energetic,surprise
