Timestamp,How old are you?,What is your gender?,What is your occupation?,How are you feeling today?,Text,Which activity would make your day better? 
2021/03/28 9:47:00 pm GMT-6,12-17 years old,Female,Student,Bored,i went to my sisters yesterday. my dad came to pick me up early in the morning cause i had tuition so i’m really sad,go to my sisters house
2021/03/28 9:47:28 pm GMT-6,18-24 years old,Female,Student,Happy,"My class just started but I had one class Although it was an early class,it was really interesting and I had fun.",Listen to music
2021/03/28 9:53:56 pm GMT-6,18-24 years old,Male,Student,Bored,"I just woke up so I'm not sure how my mood for today is yet, but I hope I'll be happy and not think about the embarrassing past. ",Hitting the gym
2021/03/28 9:54:58 pm GMT-6,18-24 years old,Male,Student,Stressed 😥 ,Exam is after 7 days but due to online classes the classes was not effective so stressed out how to give exam ,Someone plz help for my exam 
2021/03/28 9:55:59 pm GMT-6,18-24 years old,Female,Employed for wages,Happy,"It was good so far. I have my nieces over here so it’s gonna be fun. 
But i have a throat ache that’s bothering me. 
It is so annoying as i wanted to spend a good time with my nieces considering they are only here for week. ",Listen to music
2021/03/28 9:59:13 pm GMT-6,18-24 years old,Female,Student,Happy,Today I am feeling good and productive! There were many work that were piling up for couple of days as I wasn't feeling for it but I got to work on those so it feels great. And also as  I didn't procrastinate much which feels nice. ,Listen to podcast
2021/03/28 10:06:38 pm GMT-6,18-24 years old,Male,Student,Happy,I am having a really good day. There are alot of task to perform today but i am energized to complete all the task. After a long time I started writing and it feels amazing.,Listen to music
2021/03/28 10:39:01 pm GMT-6,18-24 years old,Female,Student,Anxious,Nothing special. A quite sunny Monday. I plan to buy a schedule book so that I can organize and plan better.,Doing nothing
2021/03/28 10:42:23 pm GMT-6,18-24 years old,Female,Student,Anxious,"I planned on studying for cpsc 261 all day but after 3.5 hours I decided to take a break and go to the mall. I bumped into an old friend when I went to Champs. Turns out she works there and she got me a pretty sweet discount on some Nikes so that was great. Also kinda feel guilty cause I spent longer at the mall than I wanted to when I should have been studying. Now it's almost 10pm and I have to catch up on the studying I shouldve dont today. This always happens, I procrastinate and end up paying for it by getting no sleep. I rate today a solid 7/10 becuz I got some new shoes but also did less studying than i wanted to.",Other
2021/03/28 10:43:18 pm GMT-6,18-24 years old,Male,Student,Sad,"I went out for groceries because it was sunny. Instead of taking the bus, I walked to the store to enjoy the sun. It was all rainbows and sunshine until the wind and rain came out of nowhere. On the way back I stood at the bus stop with rain smashing onto my face for twenty minutes. So I guess I had a bad day.",Read a book
2021/03/28 11:12:37 pm GMT-6,18-24 years old,Male,Student,Anxious,"I really did not do as much work as I need to do, but I did overachieve yesterday, I guess. How many character is this? Well, subscribe to technoblade.",Watch a movie
2021/03/28 11:37:17 pm GMT-6,18-24 years old,Male,Student,Worried,"Since the day has just started, i will describe about the previous day which led to my current mood. Since this is my final year in my university and i am preparing the final report i am a little worried about how things will go but more of it is because of the fact that I am living alone and is hard not to express what you feel to someone physically. There's a big difference of having a physical presence of someone in your life. I think due to these reasons I am a little worried and sad and these things are normal cause when my report finishes then all the useless feelings fades away. ",Listen to a podcast
